episode,step,epsilon,reward,loss,length
100,3204,1.0000,0.24,0.0923,31.03
200,6527,1.0000,0.27,0.1232,32.23
300,10095,1.0000,0.30,0.0927,34.68
400,13439,1.0000,0.26,0.0622,32.44
500,16673,1.0000,0.26,0.0627,31.34
600,19800,1.0000,0.20,0.0620,30.27
700,23507,1.0000,0.34,0.0623,36.07
800,26636,1.0000,0.21,0.0313,30.29
900,29958,1.0000,0.25,0.0618,32.22
1000,33181,1.0000,0.25,0.1233,31.23
1100,36905,1.0000,0.35,0.0314,36.24
1200,40882,1.0000,0.40,0.1546,38.77
1300,44581,1.0000,0.33,0.0313,35.99
1400,48443,1.0000,0.39,0.0932,37.62
1500,51213,0.9989,0.12,0.0312,26.70
1600,54191,0.9962,0.19,0.0311,28.78
1700,57468,0.9933,0.26,0.0318,31.77
1800,60690,0.9904,0.23,0.1244,31.22
1900,64132,0.9873,0.29,0.0314,33.42
2000,67509,0.9842,0.26,0.1555,32.77
2100,70921,0.9812,0.29,0.0621,33.12
2200,74421,0.9780,0.31,0.0633,34.00
2300,77772,0.9750,0.25,0.0003,32.51
2400,80671,0.9724,0.17,0.3724,27.99
2500,84188,0.9692,0.32,0.0630,34.17
2600,87472,0.9663,0.25,0.0006,31.84
2700,91072,0.9630,0.32,0.0005,35.00
2800,94769,0.9597,0.33,0.0316,35.97
2900,98399,0.9564,0.33,0.0620,35.30
3000,102122,0.9531,0.35,0.0628,36.23
3100,105961,0.9496,0.40,0.0022,37.39
3200,109402,0.9465,0.31,0.0933,33.41
3300,112569,0.9437,0.22,0.0930,30.67
3400,116040,0.9406,0.29,0.0327,33.71
3500,119624,0.9373,0.32,0.2544,34.84
3600,123402,0.9339,0.35,0.1249,36.78
3700,126840,0.9308,0.26,0.1578,33.38
3800,129884,0.9281,0.20,0.0318,29.44
3900,133101,0.9252,0.22,0.1584,31.17
4000,136338,0.9223,0.24,0.1311,31.37
4100,139501,0.9195,0.23,0.0323,30.63
4200,142792,0.9165,0.26,0.0337,31.91
4300,146162,0.9135,0.27,0.0322,32.70
4400,149783,0.9102,0.32,0.0006,35.21
4500,153185,0.9071,0.27,0.0022,33.02
4600,156337,0.9043,0.21,0.0939,30.52
4700,159742,0.9012,0.29,0.0649,33.05
4800,163385,0.8980,0.32,0.0953,35.43
4900,166482,0.8952,0.21,0.0321,29.97
5000,169366,0.8926,0.15,0.1342,27.84
5100,172557,0.8897,0.23,0.1263,30.91
5200,175837,0.8867,0.24,0.0017,31.80
